# timestamp x y z q0 q1 q2 q3
1305031453.359684 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1305031453.391690 -0.000951015 0.004621240 -0.006351864 -0.000650862 0.008095906 0.011310785 0.999903045
1305031453.423683 -0.001034539 0.004623072 -0.016181801 -0.000446268 0.014175760 0.020860534 0.999681793
1305031453.459685 0.003031559 0.008168222 -0.027255553 0.002935626 0.020473796 0.028922560 0.999367646
1305031453.491698 0.003901337 0.013493912 -0.037606429 0.007752905 0.028203470 0.038901450 0.998814865
1305031453.523684 -0.000763601 0.016920726 -0.051942332 0.014125788 0.035580971 0.048010676 0.998112935
1305031453.559753 -0.002938770 0.021830775 -0.065630232 0.021403961 0.039564500 0.054269704 0.997512566
1305031453.591640 0.001800649 0.032175570 -0.074773373 0.030928455 0.040224930 0.059872567 0.996915574
1305031453.627706 -0.027551091 0.040266516 -0.089754733 0.039126061 0.051582502 0.059068997 0.996152222
1305031453.659600 -0.032056639 0.043847051 -0.104068137 0.046073788 0.047619345 0.058841893 0.996065879
1305031453.691678 -0.037593339 0.056737583 -0.116452526 0.054904486 0.042524899 0.053992920 0.996123434
1305031453.727652 -0.047561785 0.067850274 -0.135378475 0.059928084 0.037950857 0.050018405 0.996226137
1305031453.759694 -0.055196473 0.071683359 -0.149871395 0.063514774 0.028720795 0.044525310 0.996573372
1305031453.791716 -0.060600008 0.091057028 -0.156181945 0.072304297 0.018916277 0.034160418 0.996617945
1305031453.827773 -0.069713127 0.097145295 -0.164124016 0.074939244 0.011609310 0.029284227 0.996690407
1305031453.859705 -0.087612731 0.118577239 -0.163747938 0.082355559 0.002233249 0.020006461 0.996399677
1305031453.891710 -0.096417787 0.128075432 -0.169474992 0.082984092 -0.015349403 0.015153200 0.996317428
1305031453.927723 -0.102095412 0.129831002 -0.182239777 0.078576543 -0.036057084 0.009942800 0.996206181
1305031453.959641 -0.110814747 0.129209672 -0.190254205 0.074462401 -0.053434279 0.001720350 0.995789721
1305031453.991624 -0.121277990 0.125648682 -0.191300746 0.070995449 -0.065454663 -0.008375188 0.995291510
1305031454.027662 -0.149583166 0.130393735 -0.192894078 0.074226243 -0.071722943 -0.018179108 0.994492737
1305031454.059654 -0.136877749 0.139217433 -0.179353087 0.078635528 -0.091478599 -0.028783499 0.992280016
1305031454.091651 -0.154667330 0.138250202 -0.188115232 0.077468559 -0.101313658 -0.041564525 0.990962439
1305031454.127701 -0.169078205 0.132065253 -0.200544741 0.077330024 -0.115433039 -0.057083034 0.988654039
1305031454.159672 -0.178680226 0.137616421 -0.206952900 0.078409822 -0.130696623 -0.069626567 0.985861265
1305031454.191658 -0.175607880 0.134354668 -0.207767715 0.074715081 -0.152713170 -0.084061487 0.981850299
1305031454.227671 -0.187405490 0.122258142 -0.202869120 0.072561494 -0.171817968 -0.101644620 0.977180529
1305031454.259627 -0.219711297 0.140947325 -0.209716410 0.083097308 -0.175070183 -0.116934939 0.974049018
1305031454.291639 -0.223230381 0.145849734 -0.208447403 0.081449055 -0.184014667 -0.126908741 0.971287200
1305031454.327699 -0.231963275 0.153998379 -0.202217289 0.086300894 -0.196848525 -0.139080303 0.966674445
1305031454.359636 -0.237725380 0.143925706 -0.195723360 0.087594825 -0.211491295 -0.156068814 0.960854362
1305031454.391677 -0.247235686 0.139665909 -0.187740092 0.079027299 -0.220102514 -0.158476421 0.959267842
1305031454.427465 -0.251714002 0.150830786 -0.187305608 0.083834533 -0.234551028 -0.169110871 0.953603219
1305031454.459913 -0.240618791 0.145374835 -0.184776443 0.085202674 -0.251091106 -0.185810406 0.946133317
1305031454.491617 -0.250161673 0.150319307 -0.189059147 0.086597761 -0.253608837 -0.200592085 0.942308973
1305031454.527700 -0.257117736 0.141392058 -0.194926910 0.076291499 -0.258544433 -0.211425265 0.939485892
1305031454.559575 -0.263229797 0.142053013 -0.198045310 0.071226874 -0.264898680 -0.224445287 0.935082742
1305031454.591635 -0.265824287 0.147096931 -0.200528571 0.068115953 -0.276518174 -0.238233647 0.928516368
1305031454.627580 -0.264322566 0.148001448 -0.201583809 0.067306316 -0.292051256 -0.254214169 0.919538515
1305031454.659528 -0.270422593 0.166267989 -0.205574207 0.065170045 -0.301755043 -0.261000488 0.914645016
1305031454.691884 -0.257797058 0.150909771 -0.225817352 0.049490186 -0.317298004 -0.263354482 0.909679677
1305031454.727659 -0.246220575 0.144531520 -0.230668795 0.043227222 -0.332773899 -0.269859423 0.902534670
1305031454.759732 -0.240317329 0.145838219 -0.231754137 0.036711070 -0.339332164 -0.267717156 0.901018038
1305031454.791641 -0.233414224 0.151657944 -0.224745938 0.030215601 -0.344675463 -0.258021566 0.902059152
1305031454.827570 -0.227511593 0.146034207 -0.241551920 0.020537179 -0.342472265 -0.253828859 0.904357165
1305031454.859620 -0.222352586 0.153351627 -0.235544526 0.013770322 -0.341163546 -0.245722253 0.907214631
1305031454.891764 -0.218045434 0.161870807 -0.235855524 0.010547828 -0.336267219 -0.239358115 0.910780321
1305031454.927567 -0.217035251 0.172896557 -0.241361280 0.006636315 -0.328856277 -0.233031314 0.915153493
1305031454.959648 -0.218196365 0.180884263 -0.251532162 0.003244615 -0.320935926 -0.228209291 0.919189928
1305031454.991937 -0.222957234 0.187060572 -0.258335845 -0.000999550 -0.316172626 -0.222681611 0.922196710
1305031455.027799 -0.224421996 0.209815590 -0.257415931 0.001449896 -0.315982604 -0.216267641 0.923786339
1305031455.059636 -0.227328635 0.205915581 -0.267756682 -0.001985311 -0.311459142 -0.218141624 0.924880259
1305031455.091700 -0.234186850 0.219075793 -0.265653144 -0.000133140 -0.309212570 -0.215227294 0.926317862
1305031455.127695 -0.241292737 0.228133119 -0.279373600 0.002368875 -0.301625698 -0.217078634 0.928382030
1305031455.159720 -0.250093877 0.236976955 -0.285686492 0.000719931 -0.296461481 -0.213095659 0.930967407
1305031455.191655 -0.260605671 0.244954187 -0.291150994 -0.003353672 -0.292085722 -0.208077942 0.933476435
1305031455.227581 -0.271053417 0.251686820 -0.295872349 -0.004595535 -0.288213850 -0.202147505 0.935974382
1305031455.259631 -0.278554134 0.269690023 -0.300973864 -0.005245616 -0.283209752 -0.194917942 0.939027005
1305031455.291831 -0.291111863 0.267886259 -0.305161957 -0.016336743 -0.276948016 -0.187602908 0.942251589
1305031455.327766 -0.301212233 0.272918399 -0.322584875 -0.022805904 -0.271002982 -0.178317383 0.945642737
1305031455.359630 -0.309767879 0.283998428 -0.325736786 -0.031087064 -0.269219215 -0.171429773 0.947188704
1305031455.391665 -0.320451719 0.286431226 -0.321505290 -0.042529648 -0.263606205 -0.163629083 0.949699174
1305031455.427642 -0.338981519 0.290688588 -0.335627297 -0.050608549 -0.252654201 -0.154783855 0.953753945
1305031455.459589 -0.353093776 0.288227555 -0.338664994 -0.058102752 -0.248788313 -0.145709281 0.955770501
1305031455.491637 -0.371894075 0.297570971 -0.352287444 -0.060763579 -0.241781247 -0.135856459 0.958849643
1305031455.527610 -0.386592001 0.293061636 -0.360619884 -0.068277932 -0.237405558 -0.122922162 0.961179935
1305031455.559669 -0.407483830 0.297953293 -0.368175569 -0.069961610 -0.235855914 -0.108428342 0.963182566
1305031455.591645 -0.420967117 0.303204070 -0.380130365 -0.071540724 -0.235687066 -0.094908655 0.964534022
1305031455.627617 -0.432835103 0.290242046 -0.391909838 -0.079735351 -0.232554952 -0.085341546 0.965545073
1305031455.659615 -0.449620119 0.289595064 -0.398625964 -0.076797801 -0.230026328 -0.078559831 0.966963463
1305031455.691605 -0.463113253 0.291581730 -0.408455983 -0.072268156 -0.228545293 -0.078180464 0.967694258
1305031455.727628 -0.476941717 0.290945970 -0.415667931 -0.068923951 -0.225582262 -0.083552722 0.968184422
1305031455.759683 -0.486315079 0.285296283 -0.431362812 -0.068243848 -0.220325462 -0.087416146 0.969101587
1305031455.791666 -0.502453118 0.276205072 -0.442497083 -0.067950065 -0.214394512 -0.086281838 0.970553052
1305031455.827590 -0.516877846 0.272038065 -0.461262552 -0.065048411 -0.209364218 -0.086154470 0.971860451
1305031455.859526 -0.531275805 0.269309539 -0.472739598 -0.063526433 -0.206659573 -0.088582508 0.972321630
1305031455.891657 -0.542389856 0.257652182 -0.487716133 -0.066328077 -0.203002876 -0.087981794 0.972959209
1305031455.927955 -0.556405448 0.248917770 -0.499869035 -0.067985030 -0.197681822 -0.090302647 0.973727562
1305031455.959716 -0.566948610 0.247057295 -0.510355352 -0.066633707 -0.193815875 -0.092630536 0.974379258
1305031455.991694 -0.576252755 0.242895117 -0.518346487 -0.069088690 -0.189301861 -0.094904391 0.974876769
1305031456.027770 -0.584491487 0.246612161 -0.529853074 -0.071715887 -0.182722590 -0.099484115 0.975485621
1305031456.059713 -0.601032828 0.237131263 -0.536975804 -0.082355492 -0.175620714 -0.108124400 0.975030282
1305031456.091707 -0.617168149 0.222703661 -0.542793047 -0.090405688 -0.169630640 -0.115014260 0.974589133
1305031456.127645 -0.628444389 0.212610548 -0.547618466 -0.093516845 -0.164974994 -0.116452111 0.974923975
1305031456.159731 -0.634187374 0.202263015 -0.547657650 -0.095775812 -0.161083638 -0.116767768 0.975317561
1305031456.191658 -0.636945865 0.194337305 -0.541282970 -0.091844386 -0.156489193 -0.112609744 0.976931311
1305031456.227678 -0.648737783 0.195998208 -0.555065462 -0.086960331 -0.143665341 -0.111021028 0.979526673
1305031456.291675 -0.662962357 0.172786101 -0.544300997 -0.091730675 -0.124803100 -0.101675483 0.982685995
1305031456.327718 -0.669527964 0.164124995 -0.539348827 -0.089539387 -0.115585478 -0.094604997 0.984719549
1305031456.391619 -0.685633802 0.159349534 -0.528845650 -0.085959047 -0.092456031 -0.085578480 0.988301193
1305031456.427662 -0.696724184 0.147422985 -0.530032966 -0.084930082 -0.081438994 -0.074918544 0.990223098
1305031456.491677 -0.744629464 0.183528286 -0.523219895 -0.079377857 -0.065794131 -0.067780538 0.992358850
1305031456.527641 -0.755915560 0.181686476 -0.514843860 -0.086870783 -0.067363980 -0.062115133 0.991996609
1305031456.591651 -0.770525370 0.184195559 -0.497832091 -0.090359099 -0.064793623 -0.049447314 0.992568377
1305031456.627612 -0.775570900 0.190077640 -0.495300312 -0.104183451 -0.061675598 -0.042538902 0.991732006
1305031456.691612 -0.821157143 0.178387611 -0.464066513 -0.119489988 -0.044085016 -0.029526219 0.991416591
1305031456.727693 -0.823836680 0.186708757 -0.454584164 -0.125787874 -0.047019109 -0.014560576 0.990835306
1305031456.791649 -0.821157143 0.178387611 -0.464066513 -0.119489988 -0.044085016 -0.029526219 0.991416591
1305031456.827603 -0.858159956 0.206146869 -0.415836457 -0.127246150 -0.061314633 0.011006945 0.989913017
1305031456.891672 -0.875973908 0.194533098 -0.393511521 -0.142491529 -0.058311114 0.020439395 0.987865481
1305031456.927690 -0.892575536 0.210685328 -0.379220942 -0.133455334 -0.051702082 0.026971279 0.989337717
1305031456.959667 -0.909287997 0.230204062 -0.379083848 -0.131140039 -0.043348039 0.032852895 0.989870661
1305031456.991709 -0.925624616 0.224595126 -0.370141511 -0.141694594 -0.037192647 0.032949041 0.988662586
1305031457.027648 -0.939411740 0.225945201 -0.364782224 -0.143747996 -0.032246783 0.036697066 0.988407802
1305031457.091655 -0.964028821 0.230670171 -0.362245177 -0.156995105 -0.020725746 0.045821434 0.986318091
1305031457.127632 -0.972334052 0.221364979 -0.357918367 -0.162641822 -0.015875452 0.049139130 0.985332915
1305031457.191735 -1.002420440 0.223239762 -0.370352905 -0.158958900 0.002604018 0.060561046 0.985422573
1305031457.227543 -1.019207660 0.215448145 -0.376772461 -0.164467980 0.011523656 0.065008605 0.984170397
1305031457.291656 -1.039204734 0.201719867 -0.390869918 -0.156530272 0.026147335 0.076734256 0.984340614
1305031457.327548 -1.053344490 0.200937270 -0.401798024 -0.153807219 0.037103298 0.081150664 0.984063643
1305031457.391684 -1.080345082 0.176983870 -0.420802346 -0.153410095 0.061396270 0.092712395 0.981886069
1305031457.427641 -1.100711138 0.177457861 -0.430400642 -0.148531865 0.072051095 0.098887125 0.981309463
1305031457.491705 -1.129850541 0.159674653 -0.448031482 -0.147890249 0.079267446 0.106184452 0.980086735
